iter	Passed	Remaining
424	1875	2537
425	1879	2532
426	1883	2527
427	1887	2522
428	1891	2517
429	1895	2512
430	1899	2507
431	1903	2502
432	1907	2497
433	1911	2492
434	1915	2488
435	1919	2483
436	1923	2478
437	1927	2473
438	1931	2468
439	1935	2463
440	1939	2458
441	1943	2453
442	1947	2448
443	1951	2443
444	1954	2438
445	1958	2433
446	1962	2428
447	1966	2423
448	1970	2418
449	1974	2413
450	1978	2408
451	1983	2404
452	1987	2399
453	1991	2395
454	1995	2390
455	1999	2385
456	2003	2380
457	2006	2374
458	2010	2370
459	2014	2365
460	2018	2360
461	2022	2355
462	2026	2350
463	2030	2345
464	2034	2340
465	2038	2335
466	2042	2330
467	2046	2326
468	2050	2321
469	2053	2316
470	2057	2311
471	2061	2306
472	2065	2301
473	2069	2296
474	2073	2291
475	2077	2287
476	2081	2282
477	2085	2277
478	2089	2273
479	2093	2268
480	2097	2263
481	2101	2258
482	2105	2253
483	2109	2248
484	2113	2243
485	2117	2239
486	2120	2234
487	2124	2229
488	2128	2224
489	2132	2219
490	2136	2214
491	2140	2210
492	2144	2205
493	2148	2200
494	2152	2195
495	2156	2191
496	2160	2187
497	2164	2182
498	2168	2177
499	2172	2172
500	2176	2168
501	2180	2163
502	2184	2158
503	2188	2154
504	2192	2149
505	2196	2144
506	2200	2139
507	2204	2135
508	2208	2130
509	2212	2126
510	2217	2121
511	2221	2117
512	2225	2112
513	2229	2107
514	2233	2103
515	2237	2098
516	2241	2093
517	2245	2089
518	2249	2084
519	2253	2079
520	2257	2075
521	2262	2071
522	2266	2067
523	2270	2062
524	2274	2058
525	2278	2053
526	2282	2048
527	2287	2044
528	2291	2040
529	2295	2035
530	2299	2031
531	2303	2026
532	2308	2022
533	2312	2017
534	2315	2012
535	2320	2008
536	2324	2003
537	2327	1999
538	2332	1995
539	2336	1990
540	2340	1985
541	2344	1981
542	2348	1976
543	2352	1972
544	2356	1967
545	2360	1962
546	2364	1958
547	2368	1953
